experiment_id,campaign_partition,target_sbox,target_sbox_index,key_id,session_id,fault_model,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance
19942,attack,S0,0,22,4,single_bit_flip,-3.342199223108238,1.009950278987769,1.0094199204473084,1,3.934049039394436,4e9ddf041becd4a3,1ab9c4aac770bb5b,True,1ab9c4aac770bf5b,False,1
19948,attack,S5,5,22,0,stuck_at_bit,0.3488704776390321,1.6756931035221208,1.0732632453239894,1,3.008912628612156,8ef362fcc8d250f9,5cd11982de51bfcf,True,5cd11982de54bfcf,False,2
19949,attack,S5,5,22,3,random_and_4,-3.4325469348424478,3.5496770397081274,0.994776848659032,1,2.9015111404558835,3001cd660a04b330,ac7f00d7507c54fa,True,ac7f00d7507754fa,False,3
19950,attack,S0,0,22,4,random_and_4,-1.3261594791045566,3.176442930838314,1.0518408343547794,1,2.39689465876336,64b39d0747187b7d,93aa4ab5a8bdc421,True,93aa4ab5a8bdc421,True,0
19964,attack,S5,5,23,5,random_and_4,-11.09309851345601,0.8886597846712694,0.7123861872350521,1,3.1576423253404062,2ae30e10f4e705ff,a577c9a97e0568b0,True,a577c9a9720568b0,False,2
19965,attack,S0,0,23,0,random_and_4,1.839569908243756,3.983914766247992,0.9082424059669976,1,2.7937972531991093,c5a3aa8a1faf198f,1f020a7aa136df40,True,1f020a7aa136d240,False,3
19967,attack,S0,0,22,6,random_and_4,1.9494380223410144,3.3880465256820096,0.5889562547445688,1,3.036837806392813,22950a4784d14065,5599709879f6ace0,True,5599709879f6a3e0,False,4
19970,attack,S0,0,23,6,random_and_4,4.602529160933456,6.340559888004786,0.7514996447107943,1,4.730728239813837,053919d1428d2aaf,dbb6bcee3a71be86,True,dbb6bcee3a71be86,True,0
19971,attack,S5,5,22,6,random_and_4,-6.424496650131426,5.8033454154697335,0.7464220965794844,1,1.9663514584970387,0b113b02ef7e3f57,806e6f6cabec7291,True,806e6f6ca3ec7291,False,1
19974,attack,S0,0,23,2,random_and_4,-0.5599113784472278,2.064700226928164,0.8436381942300024,1,2.607122565653066,81eaf11796437cfa,f1ecac47ebdb0f9d,True,f1ecac47ebdb0f9d,True,0
19977,attack,S0,0,22,3,random_and_4,-26.738283015882523,1.7953207360309125,0.1901224302439776,1,1.9856470464779308,261821233103926e,b3df9f42bbadbd21,True,b3df9f42bbadbd21,True,0
19984,attack,S0,0,23,1,random_and_4,-1.0649874240643906,2.9368350161511074,0.9668052214376646,1,4.354461700125493,c75cdc67d455422a,96fdf293a2d55f6c,True,96fdf293a2d5556c,False,2
19987,attack,S5,5,22,1,random_and_4,-0.4733376003256841,2.4739377069051134,0.7611527802520016,1,2.4902849318527,2ca41c73faeca21e,957ff59cfbaea814,True,957ff59cfba1a814,False,4
19988,attack,S0,0,22,7,stuck_at_bit,-2.9313256017486937,5.971145013702072,0.4327291167990189,1,3.1807179640653467,70e865bffa68750d,ae0563799a7dfb40,True,ae0563799a7dfb40,True,0
