trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256,global_alignment_shift_samples,affine_residual_intercept_samples,affine_residual_slope_samples_per_sample,affine_residual_slope_ppm,reference_correlation_before,reference_correlation_after
368,0,2,random,d8978ac3e55105fa,5afc601fbef8fb7e,96,100000000.0,4288,58d05cc181cb14f1e902da602863325ef237365b0f5964109259ad3415e3fde2,-1,1.332354229543378,-0.0006378021379952069,-637.8021379952069,0.16132004075352657,0.21781436693002262
369,3,3,random,277e4f3aad4b6bc0,ea191625df90a54f,96,100000000.0,4288,0bed9b525db22c606e0d098b26264b5a40fbb1565f53213c7c546ab5e6e1eb58,3,-2.0391907309316286,0.0019145283943467872,1914.528394346787,0.0505448827414147,0.11559600742205718
370,0,3,random,032dffc105eb4f7e,0bb4f701a9447df2,96,100000000.0,4288,89055a631398dc5222f22b67ae94ee76e79abd39f01ad0f59aafbf844af75224,0,1.6167225168270931,-0.0006151661270727157,-615.1661270727158,0.19432803860463463,0.27421129169886327
371,2,3,random,d4e57e9cdb203907,9281249a0a5538e7,96,100000000.0,4288,22fe78fc4aac0f0ef5af646797e5a52806f81dd4d75975edebe44303130f3c5d,0,1.0813156223512275,-0.0003120664904008459,-312.0664904008459,0.1544549059370589,0.21820865286316465
372,0,3,random,0f07b0db9ad549fe,1b8421273ba6d4c0,96,100000000.0,4288,d39c1fc9ce15ea5449ef0257888ffebf33dbef8f61f64d7cce39bc72e0cdbe14,1,1.3857049623039563,-0.0012904502927909617,-1290.4502927909616,0.19135271632353523,0.2631420059819156
373,1,1,random,60e83a335d5ed405,7f2ace8c4efed358,96,100000000.0,4288,cb4933305cbc57685a27ad067ce5a8e71b74bb9fd9b2f9462fac064f1eb96f8f,9,-8.0,0.002633148446159701,2633.148446159701,0.0498942697825631,0.21042934989814038
374,1,3,random,59b733d491e417e5,ade1b8357a87e6ba,96,100000000.0,4288,13b35eaa73669baa93421350c6f74ed30f69a91f7f9d410fa21d0148a119bf2f,0,2.4873776238801133,-0.0014845146342276525,-1484.5146342276526,0.1691155386034632,0.2316443750486593
375,2,3,random,93729383fc1330b4,7e1d77ddfd1ae65e,96,100000000.0,4288,b12260b08888d0182f7dc4e73abe0245815a503570be8c80bd77240ce661fedc,3,2.1647149776998336,-0.0009955177457532142,-995.5177457532142,0.06527338593452568,0.21015683744788072
376,1,2,random,f11173b22aeed960,80ca2018f1a2854e,96,100000000.0,4288,f27a12a5fc9b5865e80a29b678eb2d67c689dd3d36e33c4d5935e42d7c9a66c3,2,-1.0747645612833212,0.0005953748253138274,595.3748253138275,0.10803743002999348,0.20448173114904128
377,1,0,random,d6c9cba2d907e871,8f0379b769a42357,96,100000000.0,4288,1ea017afe3a66552f0c30912d218194651837a0d04d6de4bad6dcac4bfcaeda0,-1,2.341796282236927,-0.0017497695445605635,-1749.7695445605634,0.1705716379359052,0.2783371206622386
