pipeline,attack_type,key_id,target_sbox,target_sbox_index,injection_checkpoint,key_guess,key_guess_hex,effective_sample_count,ineffective_sample_count,sei_effective_component,sei_ineffective_component,shfa_sei_joint,shfa_sei_joint_equivalent,alternative_sei_sum,alternative_sei_product
shfa_guided_threshold,SHFA,1,S0,0,3000,1,1,1695,1305,0.0006498159605294071,0.0011719954199145635,0.000114624792607276,0.00011462479260727601,0.0018218113804439706,7.615813295278479e-07
shfa_guided_threshold,SHFA,1,S0,0,3000,2,2,1695,1305,0.0007939149502701855,0.0014655906401843779,0.00014238265372362865,0.00014238265372362865,0.0022595055904545635,1.1635543202184297e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,3,3,1695,1305,0.000878842857267166,0.0007304282086287637,0.00010122137323239545,0.00010122137323239544,0.0016092710658959296,6.419316138998403e-07
shfa_guided_threshold,SHFA,1,S0,0,3000,4,4,1695,1305,0.0010835051905221848,0.0007961935379692015,0.00011834385036176149,0.00011834385036176149,0.0018796987284913863,8.62679831049852e-07
shfa_guided_threshold,SHFA,1,S0,0,3000,5,5,1695,1305,0.002362992838558662,0.0019928876557889644,0.0002769517101554079,0.00027695171015540795,0.0043558804943476265,4.709179258681283e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,6,6,1695,1305,0.0028495879778282474,0.0026681566624095357,0.00035246218716302596,0.00035246218716302596,0.005517744640237783,7.603147148164554e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,7,7,1695,1305,0.0007834729944918683,0.001002884573039151,0.0001124330809502574,0.00011243308095025739,0.0017863575675310193,7.857329795686824e-07
shfa_guided_threshold,SHFA,1,S0,0,3000,8,8,1695,1305,0.0010486986712611272,0.002194881167334596,0.00020502550887599257,0.00020502550887599257,0.003243579838595723,2.3017689637598626e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,9,9,1695,1305,0.0016306636733060102,0.000989966383347279,0.0001654036807599491,0.00016540368075994912,0.0026206300566532894,1.6143022191185398e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,10,a,1695,1305,0.0007236057813628492,0.0007257306851044463,9.110867207365997e-05,9.110867207365997e-05,0.0014493364664672956,5.251429194539988e-07
shfa_guided_threshold,SHFA,1,S0,0,3000,11,b,1695,1305,0.0016445862810104332,0.0011978317992983076,0.0001796210677633803,0.00017962106776338034,0.0028424180803087408,1.9699377440840393e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,12,c,1695,1305,0.0022251590222848736,0.0026340996168582372,0.00030956495547449365,0.00030956495547449365,0.004859258639143111,5.861290528049235e-06
shfa_guided_threshold,SHFA,1,S0,0,3000,13,d,1695,1305,0.006973464379878351,0.007877710250877117,0.0009831333462517109,0.0009831333462517109,0.014851174630755469,5.493493182949413e-05
shfa_guided_threshold,SHFA,1,S0,0,3000,14,e,1695,1305,0.0033786470705963224,0.003510187754143363,0.00044241186211900984,0.0004424118621190099,0.006888834824739685,1.1859685572779557e-05
shfa_guided_threshold,SHFA,1,S0,0,3000,15,f,1695,1305,0.0012296925714186267,0.001929471088210684,0.0001998203849907716,0.00019982038499077162,0.003159163659629311,2.372656263939692e-06
shfa_guided_threshold,SHFA,1,S0,0,4000,0,0,2261,1738,0.0008339860304558519,0.0003594432180687296,7.488909865539777e-05,7.488909865539777e-05,0.0011934292485245815,2.9977062261141694e-07
