pipeline,key_id,target_sbox,target_sbox_index,key_guess,key_guess_hex,sample_count,sei,chi
random_threshold,1,S5,5,12,c,37,0.028807523739956174,17.054054054054056
random_threshold,1,S5,5,13,d,37,0.05802593133674215,34.351351351351354
random_threshold,1,S5,5,14,e,37,0.04487764791818846,26.56756756756757
random_threshold,1,S5,5,15,f,37,0.017120160701241782,10.135135135135135
random_budget_aware,0,S0,0,0,0,285,0.002172206832871652,9.905263157894733
random_budget_aware,0,S0,0,1,1,285,0.0019752231455832563,9.007017543859648
random_budget_aware,0,S0,0,2,2,285,0.0014088950446291162,6.42456140350877
random_budget_aware,0,S0,0,3,3,285,0.00340335487842413,15.519298245614031
random_budget_aware,0,S0,0,4,4,285,0.0038711911357340715,17.652631578947368
random_budget_aware,0,S0,0,5,5,285,0.0051515851031086485,23.49122807017544
random_budget_aware,0,S0,0,6,6,285,0.002172206832871652,9.905263157894733
random_budget_aware,0,S0,0,7,7,285,0.0011872883964296707,5.414035087719299
random_budget_aware,0,S0,0,8,8,285,0.0023199445983379504,10.578947368421053
random_budget_aware,0,S0,0,9,9,285,0.001728993536472761,7.8842105263157904
random_budget_aware,0,S0,0,10,a,285,0.0021722068328716526,9.905263157894735
random_budget_aware,0,S0,0,11,b,285,0.0014335180055401655,6.536842105263155
random_budget_aware,0,S0,0,12,c,285,0.0015812557710064633,7.210526315789473
random_budget_aware,0,S0,0,13,d,285,0.002172206832871653,9.905263157894737
random_budget_aware,0,S0,0,14,e,285,0.002467682363804247,11.252631578947366
random_budget_aware,0,S0,0,15,f,285,0.0023445675592489996,10.691228070175438
random_budget_aware,0,S5,5,0,0,243,0.0027508933258818947,10.695473251028806
random_budget_aware,0,S5,5,1,1,243,0.002886374028349337,11.222222222222221
random_budget_aware,0,S5,5,2,2,243,0.001971879286694102,7.666666666666668
random_budget_aware,0,S5,5,3,3,243,0.0016670477061423569,6.481481481481484
random_budget_aware,0,S5,5,4,4,243,0.0018025284086097986,7.008230452674897
random_budget_aware,0,S5,5,5,5,243,0.001971879286694102,7.666666666666668
random_budget_aware,0,S5,5,6,6,243,0.0047831038628935296,18.596707818930042
random_budget_aware,0,S5,5,7,7,243,0.0024121915697132897,9.37860082304527
random_budget_aware,0,S5,5,8,8,243,0.004410531931108063,17.14814814814815
random_budget_aware,0,S5,5,9,9,243,0.0031573354332842213,12.275720164609051
random_budget_aware,0,S5,5,10,a,243,0.0029202442039661975,11.353909465020577
random_budget_aware,0,S5,5,11,b,243,0.002107359989161544,8.193415637860083
random_budget_aware,0,S5,5,12,c,243,0.004071830174939457,15.83127572016461
random_budget_aware,0,S5,5,13,d,243,0.0035637775406865482,13.8559670781893
random_budget_aware,0,S5,5,14,e,243,0.0014638266524411932,5.691358024691359
random_budget_aware,0,S5,5,15,f,243,0.003902479296855154,15.172839506172838
random_budget_aware,1,S0,0,0,0,308,0.0020555742958340353,10.129870129870126
random_budget_aware,1,S0,0,1,1,308,0.0031307977736549164,15.428571428571429
random_budget_aware,1,S0,0,2,2,308,0.00348920559959521,17.194805194805195
random_budget_aware,1,S0,0,3,3,308,0.0038476134255355033,18.96103896103896
random_budget_aware,1,S0,0,4,4,308,0.004037358745150953,19.896103896103895
random_budget_aware,1,S0,0,5,5,308,0.0025615618148085674,12.62337662337662
random_budget_aware,1,S0,0,6,6,308,0.001950160229381008,9.610389610389607
random_budget_aware,1,S0,0,7,7,308,0.0023507336819025126,11.584415584415583
random_budget_aware,1,S0,0,8,8,308,0.004712008770450329,23.22077922077922
random_budget_aware,1,S0,0,9,9,308,0.00555532130207455,27.37662337662338
random_budget_aware,1,S0,0,10,a,308,0.004775257210322146,23.532467532467535
random_budget_aware,1,S0,0,11,b,308,0.0037632821723730817,18.545454545454547
random_budget_aware,1,S0,0,12,c,308,0.002245319615449485,11.064935064935064
random_budget_aware,1,S0,0,13,d,308,0.004353600944510035,21.454545454545453
random_budget_aware,1,S0,0,14,e,308,0.0032362118401079443,15.94805194805195
random_budget_aware,1,S0,0,15,f,308,0.0043114353179288245,21.246753246753247
random_budget_aware,1,S5,5,0,0,238,0.005009356683850012,19.075630252100844
random_budget_aware,1,S5,5,1,1,238,0.0034204858413953826,13.025210084033617
random_budget_aware,1,S5,5,2,2,238,0.004726890756302521,18.0
random_budget_aware,1,S5,5,3,3,238,0.00409134241932067,15.57983193277311
random_budget_aware,1,S5,5,4,4,238,0.002643704540639785,10.0672268907563
random_budget_aware,1,S5,5,5,5,238,0.006421686321587459,24.453781512605044
random_budget_aware,1,S5,5,6,6,238,0.005644905020831863,21.495798319327733
random_budget_aware,1,S5,5,7,7,238,0.0027496292634700947,10.470588235294121
random_budget_aware,1,S5,5,8,8,238,0.006351069839700586,24.18487394957983
random_budget_aware,1,S5,5,9,9,238,0.005644905020831863,21.495798319327733
random_budget_aware,1,S5,5,10,a,238,0.004444424828755031,16.92436974789916
random_budget_aware,1,S5,5,11,b,238,0.0050446649247934475,19.210084033613448
random_budget_aware,1,S5,5,12,c,238,0.0040207259374337966,15.310924369747898
random_budget_aware,1,S5,5,13,d,238,0.004303191864981287,16.386554621848738
random_budget_aware,1,S5,5,14,e,238,0.005433055575171246,20.689075630252102
random_budget_aware,1,S5,5,15,f,238,0.0032086363957347635,12.218487394957979
guided_raw,0,S0,0,0,0,1202,0.0019101206807290124,36.73544093178037
guided_raw,0,S0,0,1,1,1202,0.00229494796526034,44.13643926788686
guided_raw,0,S0,0,2,2,1202,0.0034258972151239887,65.88685524126456
guided_raw,0,S0,0,3,3,1202,0.0026050246261776684,50.099833610648915
guided_raw,0,S0,0,4,4,1202,0.004943058020326634,95.06489184692182
guided_raw,0,S0,0,5,5,1202,0.007879096403387588,151.53078202995007
guided_raw,0,S0,0,6,6,1202,0.015629628655513136,300.58901830282866
guided_raw,0,S0,0,7,7,1202,0.005554905717315289,106.83194675540764
guided_raw,0,S0,0,8,8,1202,0.0010726368420906922,20.62895174708819
guided_raw,0,S0,0,9,9,1202,0.0013868663154310205,26.672212978369387
guided_raw,0,S0,0,10,a,1202,0.0008373108047873624,16.103161397670554
guided_raw,0,S0,0,11,b,1202,0.0013661022533160206,26.27287853577371
guided_raw,0,S0,0,12,c,1202,0.0009411311153623603,18.099833610648915
guided_raw,0,S0,0,13,d,1202,0.006060164562113616,116.54908485856906
guided_raw,0,S0,0,14,e,1202,0.004418419384220974,84.97504159733778
guided_raw,0,S0,0,15,f,1202,0.0018810509937680125,36.17637271214642
guided_raw,0,S5,5,0,0,1464,0.0020435814745140193,47.86885245901639
guided_raw,0,S5,5,1,1,1464,0.0008230314431604407,19.278688524590166
guided_raw,0,S5,5,2,2,1464,0.0008519588521604109,19.956284153005466
guided_raw,0,S5,5,3,3,1464,0.0021089014303204033,49.398907103825124
guided_raw,0,S5,5,4,4,1464,0.0007455806384185847,17.46448087431693
guided_raw,0,S5,5,5,5,1464,0.0012513437248051597,29.31147540983606
guided_raw,0,S5,5,6,6,1464,0.0009742004837409298,22.81967213114754
guided_raw,0,S5,5,7,7,1464,0.00035366090358028026,8.284153005464486
guided_raw,0,S5,5,8,8,1464,0.005660440741736093,132.59016393442624
guided_raw,0,S5,5,9,9,1464,0.0017449759622562633,40.87431693989071
guided_raw,0,S5,5,10,a,1464,0.002484024605094211,58.185792349726796
guided_raw,0,S5,5,11,b,1464,0.002853548926513183,66.8415300546448
guided_raw,0,S5,5,12,c,1464,0.0011197706709665865,26.229508196721323
guided_raw,0,S5,5,13,d,1464,0.0012578757203857984,29.46448087431694
guided_raw,0,S5,5,14,e,1464,0.0006625309803218965,15.519125683060103
guided_raw,0,S5,5,15,f,1464,0.0010955089730956438,25.661202185792362
guided_raw,1,S0,0,0,0,1148,0.002639797739440809,48.487804878048784
guided_raw,1,S0,0,1,1,1148,0.0021981874248807195,40.37630662020906
guided_raw,1,S0,0,2,2,1148,0.0010918852966528667,20.055749128919857
guided_raw,1,S0,0,3,3,1148,0.00439409850793381,80.71080139372823
guided_raw,1,S0,0,4,4,1148,0.0011207189598028385,20.585365853658537
guided_raw,1,S0,0,5,5,1148,0.0014500297441998808,26.63414634146341
guided_raw,1,S0,0,6,6,1148,0.0008946023382583251,16.432055749128914
guided_raw,1,S0,0,7,7,1148,0.0027703080042248904,50.88501742160279
guided_raw,1,S0,0,8,8,1148,0.014192991295268848,260.6968641114982
guided_raw,1,S0,0,9,9,1148,0.00513770350495939,94.36933797909407
guided_raw,1,S0,0,10,a,1148,0.003975251611650014,73.01742160278745
guided_raw,1,S0,0,11,b,1148,0.006395761755029197,117.47735191637629
guided_raw,1,S0,0,12,c,1148,0.002386365015964744,43.832752613240416
guided_raw,1,S0,0,13,d,1148,0.002489559178817273,45.728222996515676
guided_raw,1,S0,0,14,e,1148,0.003098101227403514,56.905923344947745
guided_raw,1,S0,0,15,f,1148,0.0016230317230997095,29.811846689895464
guided_raw,1,S5,5,0,0,1420,0.000762249553659988,17.318309859154926
guided_raw,1,S5,5,1,1,1420,0.0013018250347153343,29.577464788732396
guided_raw,1,S5,5,2,2,1420,0.0005093235469152947,11.571830985915497
guided_raw,1,S5,5,3,3,1420,0.0007870462209878993,17.881690140845073
guided_raw,1,S5,5,4,4,1420,0.0006362824836341996,14.456338028169014
guided_raw,1,S5,5,5,5,1420,0.002322455861932156,52.76619718309858
guided_raw,1,S5,5,6,6,1420,0.0019792699861138664,44.969014084507045
guided_raw,1,S5,5,7,7,1420,0.0012363618329696486,28.090140845070415
guided_raw,1,S5,5,8,8,1420,0.0011560206308272166,26.26478873239436
guided_raw,1,S5,5,9,9,1420,0.001303808768101567,29.622535211267603
guided_raw,1,S5,5,10,a,1420,0.0010082324935528663,22.907042253521123
guided_raw,1,S5,5,11,b,1420,0.001201646498710573,27.30140845070422
guided_raw,1,S5,5,12,c,1420,0.0031347946835945254,71.22253521126761
guided_raw,1,S5,5,13,d,1420,0.0033420948224558624,75.9323943661972
guided_raw,1,S5,5,14,e,1420,0.006531938107518349,148.4056338028169
guided_raw,1,S5,5,15,f,1420,0.0024474310652648286,55.605633802816904
guided_threshold,0,S0,0,0,0,1202,0.0019101206807290124,36.73544093178037
guided_threshold,0,S0,0,1,1,1202,0.00229494796526034,44.13643926788686
guided_threshold,0,S0,0,2,2,1202,0.0034258972151239887,65.88685524126456
guided_threshold,0,S0,0,3,3,1202,0.0026050246261776684,50.099833610648915
guided_threshold,0,S0,0,4,4,1202,0.004943058020326634,95.06489184692182
guided_threshold,0,S0,0,5,5,1202,0.007879096403387588,151.53078202995007
guided_threshold,0,S0,0,6,6,1202,0.015629628655513136,300.58901830282866
guided_threshold,0,S0,0,7,7,1202,0.005554905717315289,106.83194675540764
guided_threshold,0,S0,0,8,8,1202,0.0010726368420906922,20.62895174708819
guided_threshold,0,S0,0,9,9,1202,0.0013868663154310205,26.672212978369387
guided_threshold,0,S0,0,10,a,1202,0.0008373108047873624,16.103161397670554
guided_threshold,0,S0,0,11,b,1202,0.0013661022533160206,26.27287853577371
guided_threshold,0,S0,0,12,c,1202,0.0009411311153623603,18.099833610648915
guided_threshold,0,S0,0,13,d,1202,0.006060164562113616,116.54908485856906
guided_threshold,0,S0,0,14,e,1202,0.004418419384220974,84.97504159733778
guided_threshold,0,S0,0,15,f,1202,0.0018810509937680125,36.17637271214642
guided_threshold,0,S5,5,0,0,1464,0.0020435814745140193,47.86885245901639
guided_threshold,0,S5,5,1,1,1464,0.0008230314431604407,19.278688524590166
guided_threshold,0,S5,5,2,2,1464,0.0008519588521604109,19.956284153005466
guided_threshold,0,S5,5,3,3,1464,0.0021089014303204033,49.398907103825124
guided_threshold,0,S5,5,4,4,1464,0.0007455806384185847,17.46448087431693
guided_threshold,0,S5,5,5,5,1464,0.0012513437248051597,29.31147540983606
guided_threshold,0,S5,5,6,6,1464,0.0009742004837409298,22.81967213114754
guided_threshold,0,S5,5,7,7,1464,0.00035366090358028026,8.284153005464486
guided_threshold,0,S5,5,8,8,1464,0.005660440741736093,132.59016393442624
guided_threshold,0,S5,5,9,9,1464,0.0017449759622562633,40.87431693989071
guided_threshold,0,S5,5,10,a,1464,0.002484024605094211,58.185792349726796
guided_threshold,0,S5,5,11,b,1464,0.002853548926513183,66.8415300546448
guided_threshold,0,S5,5,12,c,1464,0.0011197706709665865,26.229508196721323
guided_threshold,0,S5,5,13,d,1464,0.0012578757203857984,29.46448087431694
guided_threshold,0,S5,5,14,e,1464,0.0006625309803218965,15.519125683060103
guided_threshold,0,S5,5,15,f,1464,0.0010955089730956438,25.661202185792362
guided_threshold,1,S0,0,0,0,1148,0.002639797739440809,48.487804878048784
guided_threshold,1,S0,0,1,1,1148,0.0021981874248807195,40.37630662020906
guided_threshold,1,S0,0,2,2,1148,0.0010918852966528667,20.055749128919857
guided_threshold,1,S0,0,3,3,1148,0.00439409850793381,80.71080139372823
guided_threshold,1,S0,0,4,4,1148,0.0011207189598028385,20.585365853658537
guided_threshold,1,S0,0,5,5,1148,0.0014500297441998808,26.63414634146341
guided_threshold,1,S0,0,6,6,1148,0.0008946023382583251,16.432055749128914
guided_threshold,1,S0,0,7,7,1148,0.0027703080042248904,50.88501742160279
guided_threshold,1,S0,0,8,8,1148,0.014192991295268848,260.6968641114982
guided_threshold,1,S0,0,9,9,1148,0.00513770350495939,94.36933797909407
guided_threshold,1,S0,0,10,a,1148,0.003975251611650014,73.01742160278745
guided_threshold,1,S0,0,11,b,1148,0.006395761755029197,117.47735191637629
guided_threshold,1,S0,0,12,c,1148,0.002386365015964744,43.832752613240416
guided_threshold,1,S0,0,13,d,1148,0.002489559178817273,45.728222996515676
guided_threshold,1,S0,0,14,e,1148,0.003098101227403514,56.905923344947745
guided_threshold,1,S0,0,15,f,1148,0.0016230317230997095,29.811846689895464
guided_threshold,1,S5,5,0,0,1420,0.000762249553659988,17.318309859154926
guided_threshold,1,S5,5,1,1,1420,0.0013018250347153343,29.577464788732396
guided_threshold,1,S5,5,2,2,1420,0.0005093235469152947,11.571830985915497
guided_threshold,1,S5,5,3,3,1420,0.0007870462209878993,17.881690140845073
guided_threshold,1,S5,5,4,4,1420,0.0006362824836341996,14.456338028169014
guided_threshold,1,S5,5,5,5,1420,0.002322455861932156,52.76619718309858
guided_threshold,1,S5,5,6,6,1420,0.0019792699861138664,44.969014084507045
guided_threshold,1,S5,5,7,7,1420,0.0012363618329696486,28.090140845070415
guided_threshold,1,S5,5,8,8,1420,0.0011560206308272166,26.26478873239436
guided_threshold,1,S5,5,9,9,1420,0.001303808768101567,29.622535211267603
guided_threshold,1,S5,5,10,a,1420,0.0010082324935528663,22.907042253521123
guided_threshold,1,S5,5,11,b,1420,0.001201646498710573,27.30140845070422
guided_threshold,1,S5,5,12,c,1420,0.0031347946835945254,71.22253521126761
guided_threshold,1,S5,5,13,d,1420,0.0033420948224558624,75.9323943661972
guided_threshold,1,S5,5,14,e,1420,0.006531938107518349,148.4056338028169
guided_threshold,1,S5,5,15,f,1420,0.0024474310652648286,55.605633802816904
guided_budget_aware,0,S0,0,0,0,481,0.0027962253793854626,21.51975051975052
guided_budget_aware,0,S0,0,1,1,481,0.003842209793353245,29.569646569646576
guided_budget_aware,0,S0,0,2,2,481,0.005363641668215473,41.27858627858628
guided_budget_aware,0,S0,0,3,3,481,0.00446461374216052,34.35966735966736
guided_budget_aware,0,S0,0,4,4,481,0.006435559580050225,49.52806652806653
guided_budget_aware,0,S0,0,5,5,481,0.00836328292149498,64.36382536382537
guided_budget_aware,0,S0,0,6,6,481,0.015987731294384105,123.04158004158008
guided_budget_aware,0,S0,0,7,7,481,0.006936940538811642,53.386694386694394
guided_budget_aware,0,S0,0,8,8,481,0.003090138355211121,23.781704781704786
guided_budget_aware,0,S0,0,9,9,481,0.001335304999546164,10.276507276507278
guided_budget_aware,0,S0,0,10,a,481,0.0015773509796378822,12.139293139293141
guided_budget_aware,0,S0,0,11,b,481,0.0024590899071148557,18.92515592515593
guided_budget_aware,0,S0,0,12,c,481,0.0014217499924360634,10.941787941787943
guided_budget_aware,0,S0,0,13,d,481,0.005432797662527393,41.810810810810814
guided_budget_aware,0,S0,0,14,e,481,0.005303130173192543,40.812889812889814
guided_budget_aware,0,S0,0,15,f,481,0.002225688426312127,17.12889812889813
guided_budget_aware,0,S5,5,0,0,586,0.0015077345105941825,14.136518771331055
guided_budget_aware,0,S5,5,1,1,586,0.0008379538492003398,7.8566552901023865
guided_budget_aware,0,S5,5,2,2,586,0.0014203718156297687,13.317406143344712
guided_budget_aware,0,S5,5,3,3,586,0.0025327901315099766,23.74744027303754
guided_budget_aware,0,S5,5,4,4,586,0.0013155365816724717,12.334470989761094
guided_budget_aware,0,S5,5,5,5,586,0.0022415811482952635,21.017064846416392
guided_budget_aware,0,S5,5,6,6,586,0.001927075446423372,18.068259385665534
guided_budget_aware,0,S5,5,7,7,586,0.0011408111917436434,10.6962457337884
guided_budget_aware,0,S5,5,8,8,586,0.0055963086349287705,52.470989761092156
guided_budget_aware,0,S5,5,9,9,586,0.001798943493808897,16.86689419795222
guided_budget_aware,0,S5,5,10,a,586,0.002165866812659437,20.30716723549488
guided_budget_aware,0,S5,5,11,b,586,0.0023464163822525595,21.999999999999996
guided_budget_aware,0,S5,5,12,c,586,0.0013155365816724712,12.33447098976109
guided_budget_aware,0,S5,5,13,d,586,0.001769822595487426,16.593856655290107
guided_budget_aware,0,S5,5,14,e,586,0.0018105918531374859,16.97610921501707
guided_budget_aware,0,S5,5,15,f,586,0.0023522405619168544,22.054607508532428
guided_budget_aware,1,S0,0,0,0,459,0.0038609912616704876,28.355119825708062
guided_budget_aware,1,S0,0,1,1,459,0.003709102861672387,27.23965141612201
guided_budget_aware,1,S0,0,2,2,459,0.0013833117367014584,10.15904139433551
guided_budget_aware,1,S0,0,3,3,459,0.004810293761658622,35.32679738562092
guided_budget_aware,1,S0,0,4,4,459,0.0014687489617003907,10.78649237472767
guided_budget_aware,1,S0,0,5,5,459,0.002826251536683422,20.755991285403052
guided_budget_aware,1,S0,0,6,6,459,0.0021902188616913726,16.08496732026144
guided_budget_aware,1,S0,0,7,7,459,0.003917949411669776,28.773420479302835
guided_budget_aware,1,S0,0,8,8,459,0.019087803361480152,140.18082788671023
guided_budget_aware,1,S0,0,9,9,459,0.00692723833663216,50.873638344226585
guided_budget_aware,1,S0,0,10,a,459,0.00487674493665779,35.81481481481481
guided_budget_aware,1,S0,0,11,b,459,0.007041154636630734,51.71023965141611
guided_budget_aware,1,S0,0,12,c,459,0.004591954186661352,33.72331154684097
