pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_raw,1,10,11,ab,0.0025147602400679746
random_raw,1,10,12,ac,0.003359345259737169
random_raw,1,10,13,ad,0.0035917478490421154
random_raw,1,10,14,ae,0.003421697173940936
random_raw,1,10,15,af,0.0030702591120651624
random_raw,1,11,0,b0,0.0025327145370310144
random_raw,1,11,1,b1,0.0031335602557218505
random_raw,1,11,2,b2,0.003745742686086099
random_raw,1,11,3,b3,0.002515709469520896
random_raw,1,11,4,b4,0.003156233679068675
random_raw,1,11,5,b5,0.003156233679068675
random_raw,1,11,6,b6,0.003558686943474801
random_raw,1,11,7,b7,0.0027424437029891363
random_raw,1,11,8,b8,0.0035020033851077413
random_raw,1,11,9,b9,0.0029805146481307887
random_raw,1,11,10,ba,0.0024250157761336
random_raw,1,11,11,bb,0.0023456587944197162
random_raw,1,11,12,bc,0.0031902438140889106
random_raw,1,11,13,bd,0.003422646403393857
random_raw,1,11,14,be,0.003252595728292677
random_raw,1,11,15,bf,0.002901157666416904
random_raw,1,12,0,c0,0.0017176455690064063
random_raw,1,12,1,c1,0.0023184912876972425
random_raw,1,12,2,c2,0.0029306737180614913
random_raw,1,12,3,c3,0.0017006405014962883
random_raw,1,12,4,c4,0.002341164711044067
random_raw,1,12,5,c5,0.002341164711044067
random_raw,1,12,6,c6,0.002743617975450193
random_raw,1,12,7,c7,0.0019273747349645282
random_raw,1,12,8,c8,0.0026869344170831334
random_raw,1,12,9,c9,0.002165445680106181
random_raw,1,12,10,ca,0.001609946808108992
random_raw,1,12,11,cb,0.0015305898263951081
random_raw,1,12,12,cc,0.0023751748460643027
random_raw,1,12,13,cd,0.002607577435369249
random_raw,1,12,14,ce,0.002437526760268069
random_raw,1,12,15,cf,0.002086088698392296
random_raw,1,13,0,d0,0.0019374774483491427
random_raw,1,13,1,d1,0.0025383231670399794
random_raw,1,13,2,d2,0.0031505055974042277
random_raw,1,13,3,d3,0.0019204723808390247
random_raw,1,13,4,d4,0.0025609965903868035
random_raw,1,13,5,d5,0.002560996590386803
random_raw,1,13,6,d6,0.0029634498547929295
