key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi,llr_known_model
0,S0,0,1.0,15,f,792,0.0017281399857157435,21.8989898989899,-inf
0,S5,5,0.05,0,0,46,0.03296313799621928,24.260869565217387,-inf
0,S5,5,0.05,1,1,46,0.0320179584120983,23.565217391304348,-inf
0,S5,5,0.05,2,2,46,0.012169187145557654,8.956521739130434,-inf
0,S5,5,0.05,3,3,46,0.037689035916824196,27.73913043478261,-inf
0,S5,5,0.05,4,4,46,0.021620982986767484,15.913043478260867,-inf
0,S5,5,0.05,5,5,46,0.027292060491493384,20.08695652173913,-inf
0,S5,5,0.05,6,6,46,0.045250472589792055,33.30434782608695,-inf
0,S5,5,0.05,7,7,46,0.013114366729678638,9.652173913043477,-inf
0,S5,5,0.05,8,8,46,0.03485349716446125,25.652173913043477,-inf
0,S5,5,0.05,9,9,46,0.02256616257088847,16.608695652173914,-inf
0,S5,5,0.05,10,a,46,0.029182419659735347,21.478260869565215,-inf
0,S5,5,0.05,11,b,46,0.015004725897920602,11.043478260869563,
0,S5,5,0.05,12,c,46,0.03012759924385634,22.173913043478265,-inf
0,S5,5,0.05,13,d,46,0.03012759924385633,22.173913043478258,
0,S5,5,0.05,14,e,46,0.02256616257088847,16.608695652173914,-inf
0,S5,5,0.05,15,f,46,0.056592627599243855,41.65217391304348,-inf
0,S5,5,0.075,0,0,69,0.02256616257088847,24.91304347826087,-inf
0,S5,5,0.075,1,1,69,0.02004568367989918,22.130434782608695,-inf
0,S5,5,0.075,2,2,69,0.01038384793110691,11.46376811594203,-inf
0,S5,5,0.075,3,3,69,0.020885843310228944,23.057971014492754,-inf
0,S5,5,0.075,4,4,69,0.013324406637261081,14.710144927536234,-inf
0,S5,5,0.075,5,5,69,0.012904326822096197,14.246376811594201,-inf
0,S5,5,0.075,6,6,69,0.021305923125393825,23.52173913043478,-inf
0,S5,5,0.075,7,7,69,0.012064167191766435,13.318840579710145,-inf
0,S5,5,0.075,8,8,69,0.018365364419239655,20.27536231884058,-inf
0,S5,5,0.075,9,9,69,0.015424805713085486,17.028985507246375,-inf
0,S5,5,0.075,10,a,69,0.02088584331022894,23.05797101449275,-inf
0,S5,5,0.075,11,b,69,0.011644087376601553,12.855072463768114,-inf
0,S5,5,0.075,12,c,69,0.014164566267590842,15.63768115942029,-inf
0,S5,5,0.075,13,d,69,0.015004725897920604,16.565217391304348,-inf
0,S5,5,0.075,14,e,69,0.009963768115942028,10.999999999999998,-inf
0,S5,5,0.075,15,f,69,0.02802720016803193,30.942028985507253,-inf
0,S5,5,0.1,0,0,92,0.01524102079395085,22.434782608695652,-inf
0,S5,5,0.1,1,1,92,0.014295841209829867,21.043478260869563,-inf
0,S5,5,0.1,2,2,92,0.005552930056710775,8.173913043478262,-inf
0,S5,5,0.1,3,3,92,0.012405482041587902,18.26086956521739,-inf
0,S5,5,0.1,4,4,92,0.006498109640831759,9.56521739130435,-inf
