trace_id,key_id,session_id,plaintext_class,plaintext_hex,ciphertext_hex,global_trigger_sample,sampling_rate_hz,number_of_samples,trace_sha256
112,1,0,random,70bf376c81327988,f5b54db54de13ff0,96,100000000.0,4288,e5cc910c8e76cf40ae8a9dafd2a96567971cc3eaf21aa45d2dfa62d8bcdc90e7
113,0,2,random,1f00e19fa8765ed3,46762bb1970e565e,96,100000000.0,4288,b2926614e9fffe1cac735007a0111f8cfc728e9d284740d03d72c06f28277b90
114,1,3,random,a0db731ea20bd2ad,18dee68d77cfa7a5,96,100000000.0,4288,61d68cbb90dec0cb1fcb1326feb218504b13518b2b0060209f46b9b4279162a2
115,2,0,random,8a6f597aacbcfe2e,45a34e724dfdb328,96,100000000.0,4288,0fe9d1bd826a411bdd713465b001c7b80fdb0f163608df2b954f90401c410aeb
116,0,1,random,782704b3ac694057,4e2b64201357cd50,96,100000000.0,4288,0335910a1a14b66025acea33b1e8b9055665ec8cf398c36e0db8148b1efed129
117,0,1,random,22ef24bb251e731d,31333fda04e0745a,96,100000000.0,4288,f959c50dcd3599f492d094b822dbbfc6c3e11e06208f79f7ba51f8f5313ccbdf
118,1,3,random,8bd091e51952c449,eb49efd2fc8612ee,96,100000000.0,4288,46592621309327be370d34b0c9ea1db3dda9094fc95dccef6a33f46157937ad3
119,2,1,random,51d1c7db937f5808,39079a094541b890,96,100000000.0,4288,be99324ae5e163f4d729e074f29d60270d93cc2fb303c579844d546eb39e7284
120,2,2,random,b3a3cd6148ed596b,3bf9b45968da3d57,96,100000000.0,4288,cefd96f6f44ff5be87830a8b52cc6332bd3641403e03b7c5ea964bd68871bc03
121,1,0,random,5dead8d8568df92e,a324e4b7e6ed3b1f,96,100000000.0,4288,e6d17dd1c20a45956fcf1680a673e39aa0505d5d766ce238423c77f85303f751
122,1,0,random,aea1240fc1ba11f1,e4add0c0e97ed562,96,100000000.0,4288,5d708e65aff758dd6df350f7d75bed502a7ea5e858343691c879b31dd9ffe0c7
123,3,1,random,5e793f6cd942bc60,03232f2cca59ff93,96,100000000.0,4288,11e0cc0f6799e5c9e34833ab6f7eb5098a8b73e5cd77e7bf4630385f79a32e20
124,2,0,walking_one,0000000000000080,9a55763047ffeb6f,96,100000000.0,4288,e99df2a21f8f6a3d9bbc7d6d6a01ca3285d2ef24d2121df6cb2ce91e630e7052
125,3,2,walking_zero,ffffffffffffff7f,ad532b71788d6e0c,96,100000000.0,4288,a27157e73f0a64507931710c579c310176dce055f5d25b40fc9308c773ff1267
126,3,1,repeated_nibble,7777777777777777,86a4758a9436970c,96,100000000.0,4288,27f90d38af7ed571528327e25c253ce9568b3125936ffe80c8003ba78af9b79a
127,2,1,counter,7d85630625f38e6b,aafa535bca1b9949,96,100000000.0,4288,b56dc766d7e912e4315d745b4c11e45156bbe2880e0873e3302a437f6f3a630e
128,0,1,random,d0319c46d4e44596,f2756a6c38fc8c39,96,100000000.0,4288,550e7bce02849dbe98e681557f7a6a9402b25dba475eb3c5139cf3b8d698f85d
129,1,0,random,685db20672229b0f,a76a9a837e4a4d42,96,100000000.0,4288,c482fcbf41a9ed93eccd75d851f52edd8885e53d1a7c95d7692e178a7454256a
130,1,3,random,7ebc96b41545a49b,abd25f2ca6ec2b9c,96,100000000.0,4288,88608e95c8716040e7bb3645365c19df82d217a57f9b80c7233e569feb365558
131,2,3,random,c2142f565e003f66,ca9dc41589235211,96,100000000.0,4288,d629adfb70449fe2d833974decf8f987a5092c6a98e413978f7518c23270f316
132,3,1,random,5d9427c62678dfc9,12b0ea614dbccb48,96,100000000.0,4288,81a01ca43dfd717ecd7cac992b457ef87421e534839c19b4ca654cba8f7e2603
133,2,0,random,11ba81f461c15fe3,5eab94bc58cffa66,96,100000000.0,4288,6d3efb4075b25cb5d1b03c426cfce09a54f8b3d6435973bc2756a02bb7892227
134,0,3,random,d245fc9b6a4fe5f8,e3398bec8277751c,96,100000000.0,4288,dbb1e0e24bf08da00ae31fd9bfc007546f2ae9930cc2764ea25b4cd8e18f6bbe
135,2,0,random,b0b6e87d5ca2883c,844538c7f24188d3,96,100000000.0,4288,844875ba5c01410e29f50596def720fa8dffd094cc1722bc3949b466140d760b
136,0,0,random,6cbd5a3de4811c65,0c5474135d176758,96,100000000.0,4288,f63f732a07fccac0eb52cd10af57cbc66873e503c8931ba342a804c0aae2367b
137,0,3,random,83498fa8e5d5a84c,b7d3386604df49f0,96,100000000.0,4288,e6d0ef4e0c7154ce18174e0da15fa530a41ba787fe00477f3482a5e558cc3ee4
138,2,0,random,ef3f7269f6fb45d3,443f5971fe493af7,96,100000000.0,4288,34a43c5b846f80b316ed32bd1ff35bb5ddf5f630235ce5b9b5be0387f1c767d8
139,0,2,random,b9b3f3ca42843d05,413a426a2d2ee243,96,100000000.0,4288,0e5083f510b55c51d68ebde8d90a015eeec0d8388fe4e1164f9f3fba25db375d
140,0,0,walking_one,0000000000000100,633f0cf70a461d5d,96,100000000.0,4288,cd41adce55ed1b0c8f9b3e183f19b761b33ec1d1f13f3bb8998c484790767d86
141,2,0,walking_zero,fffffffffffffeff,e738f3cd811cc758,96,100000000.0,4288,0395bbb89cc89394524cb73b0f8124b00637873f13157096f4e71363ef18e027
142,2,1,repeated_nibble,8888888888888888,f5d93fc7e4d0ec0c,96,100000000.0,4288,4ca0dd89faacb78a3ffea6b6e86223948196b82b20d0dc5b6cfe65fff154ea8d
143,3,3,counter,60fcfe9e1a9b4fbb,74a23d026bf58d06,96,100000000.0,4288,432c1f8723e2ee1131326e790bd1817999eb59f903105567fc60903a5c8a080a
144,0,1,random,598adbaedb577bc5,e2a9e198980019c3,96,100000000.0,4288,6a1f374ec01040dd47734d487db40b9926bc5238d5825a43d2a201a36fc74b3a
145,2,0,random,36a969cdf2bd2f9a,5d58fb5ae40bc441,96,100000000.0,4288,dfe44673de58d8c2d58d86bcdc516f37327e022abf8364a1ec21504ce653ff57
146,0,2,random,779540c389e1d176,61ab68484505a4a6,96,100000000.0,4288,a288879ec7e110092ce0de4ed7cdb5db7f4f283748510ee05f2c1b2d08e44bc7
147,0,3,random,58f250becb61cc52,da92f3419b7cecd0,96,100000000.0,4288,81564d2350117c4eb46f9af455b96cb9844f6f23fc4a16155cba13898ceaa4a5
148,3,2,random,a1238d47b0a29635,601117aac5184f76,96,100000000.0,4288,24c9d9c877e90cd18c93dfb845cff1a533737bcf319e13940a56069cc7827d4e
149,3,1,random,d1cd170ed1efeb89,9bac52dd2951af65,96,100000000.0,4288,321a4b80a0a4994109608fbbb1bb5fd72d7d16f2211f9c096689a43f0f38d8b0
150,3,2,random,c0a985f004265c79,e0009900ae16d0d9,96,100000000.0,4288,31e4870ce607fe1a3c6f6ab663f7e389d4f3b3c8664eb1d04d8b0c88c4b255a0
151,0,3,random,762aeb181cf81f8c,b5f7a7050efcb8af,96,100000000.0,4288,a78b3b58a67902e6b80344129fc12b3592818cfebdb5d406bdd776a92952444f
152,0,1,random,f8428fa1373f4398,9eef2887c209e5bf,96,100000000.0,4288,a24a50f4cffca848352ba0156cb0b9e12c490548f6636e0b3f18eb71c0e1ca9f
153,2,0,random,76155f5b55c8e8c4,03f2aa1add89486d,96,100000000.0,4288,e40f8d20fad48a6d45be9231bc13249709effa53740a8d2863de45eac57490ae
154,1,2,random,680edd5343a08ac5,628fc164f0029849,96,100000000.0,4288,00a625f2d9a199803feb4ec564fc1bfc8169a6e687364e04fb9190bc5cf7b975
155,1,1,random,6dde81ec0287965c,22c2cff71e28df11,96,100000000.0,4288,968668e647348cd0e982900ab38b4568a9a3f3016013df014215de732f607ab0
156,1,3,walking_one,0000000000000200,c887a9ef18150b48,96,100000000.0,4288,e4fd5d466c4001a9ca91806dbff2a14422e19fda7bcf967930d7baec9507a8a1
157,3,2,walking_zero,fffffffffffffdff,6667146021dde12a,96,100000000.0,4288,a26fab4183e16fc54eb47246626efc86b561637e74e09b9e04df2dec17b90162
158,2,0,repeated_nibble,9999999999999999,6990b19448044553,96,100000000.0,4288,b903bfd67ecb00540b3670e8c1f844fe94e9f267346ef79d2c6f0f6675a99f83
