experiment_id,category,category_id,sampling_regime,target_sbox,target_sbox_index,key_id,session_id,master_key_hex,round_key_32_hex,x31_hex,x32_hex,target_original_input,target_faulted_input,impacted_sboxes,impacted_sbox_count,target_impacted,off_target_impacted,changed_sbox_input_count,fault_effective,invalid_subtype,invalid_probability,global_jitter_samples,injection_jitter_samples,model_details_json
2358,invalid_reset,5,invalid_probe,S0,0,3,3,9a12785cf0bfd7f9169e,615424b1,df181763,febba58f,14,14,,0,False,False,0,False,reset,0.985,-0.26052882871041266,0.13556804351873902,{}
2359,invalid_reset,5,invalid_probe,S5,5,3,3,9a12785cf0bfd7f9169e,615424b1,1c2dfe59,269a2c1e,12,12,,0,False,False,0,False,timeout,0.985,0.5661095574707887,-0.2720568578968184,{}
2360,off_target,3,miss_probe,S0,0,4,3,19befa4e32aa4154e8eb,48e4d611,ffb3f50c,88510e84,5,5,S3,1,False,True,1,True,,0.0005,0.15505028401368956,-0.0948085335179262,"{""S3"": {""and_mask"": 7}}"
2361,off_target,3,miss_probe,S5,5,4,3,19befa4e32aa4154e8eb,48e4d611,e53023a6,c5744da0,9,9,S2,1,False,True,1,True,,0.0005,0.43436677616072533,-0.10162155864450849,"{""S2"": {""bit_position"": 2, ""stuck_value"": 1}}"
2362,missed,0,miss_probe,S0,0,5,3,6ce416051079421e4d04,e3f442d9,77b59d31,2f866a0e,7,7,,0,False,False,0,False,,0.0005,-0.20325454303184115,0.18589663685011223,{}
2363,missed,0,miss_probe,S5,5,5,3,6ce416051079421e4d04,e3f442d9,9b4f531f,77b3dd1e,4,4,,0,False,False,0,False,,0.0005,-0.07261291314468254,0.0784432503599725,{}
2364,clean_target_ineffective,1,target_probe,S0,0,6,3,b67736ff4c567a14112b,30e88f1f,62746da0,8682b9ca,5,5,S0,1,True,False,0,False,,0.0013774983385827083,-0.34564483615962277,-0.5842557380786618,"{""S0"": {""bit_position"": 3, ""stuck_value"": 0}}"
2365,clean_target_effective,2,target_probe,S5,5,6,3,b67736ff4c567a14112b,30e88f1f,babe2903,0f8029d4,6,9,S5,1,True,False,1,True,,0.0010358945543019215,0.1169450836759846,0.3050601935133091,"{""S5"": {""replacement"": 9}}"
2366,clean_target_ineffective,1,target_probe,S0,0,7,3,b78b228f913a5cfcb7ec,5efdde13,774e4904,88ebd6a3,0,0,S0,1,True,False,0,False,,0.0005658656463102426,0.29400368249798625,-0.2604367165657153,"{""S0"": {""and_mask"": 4}}"
2367,clean_target_ineffective,1,target_probe,S5,5,7,3,b78b228f913a5cfcb7ec,5efdde13,2ecd08c1,3bfbf0b5,0,0,S5,1,True,False,0,False,,0.0009284901450521511,-0.13448494080265633,-0.1303816474742966,"{""S5"": {""and_mask"": 12}}"
2368,missed,0,target_probe,S0,0,0,0,94be897446726719d350,124ec80a,35a768a1,1792e217,13,13,,0,False,False,0,False,,0.0005,0.4343929130550209,0.029313776600627492,{}
2369,missed,0,target_probe,S5,5,0,0,94be897446726719d350,124ec80a,66459df0,85cd59ef,8,8,,0,False,False,0,False,,0.0005333750050396795,-0.08001982900063392,0.18144763079610085,{}
2370,missed,0,target_probe,S0,0,1,0,454d5b2e2dc08ce40669,2bcb35b6,399abd97,51695d54,2,2,,0,False,False,0,False,,0.0006789435036600881,0.014630363091843627,-0.18742962204084537,{}
2371,clean_target_effective,2,target_probe,S5,5,1,0,454d5b2e2dc08ce40669,2bcb35b6,0f6311e9,fa367fe0,15,0,S5,1,True,False,1,True,,0.0007999910959137657,-0.2738297061116244,0.046150112829611206,"{""S5"": {""and_mask"": 0}}"
2372,missed,0,target_probe,S0,0,2,0,982fc83b7cc8e27ed3ed,c48bcaf1,5e90fc71,51b3e9f1,0,0,,0,False,False,0,False,,0.0005,0.03201522756529907,-0.28994871636497643,{}
2373,off_target,3,neighbor_probe,S5,5,2,0,982fc83b7cc8e27ed3ed,c48bcaf1,a25d59de,19a65492,2,2,S6,1,False,True,1,True,,0.0005387061840151436,-0.3049961507054697,-0.004999702344173514,"{""S6"": {""and_mask"": 12}}"
2374,missed,0,neighbor_probe,S0,0,3,0,9a12785cf0bfd7f9169e,615424b1,01a15620,2e104e57,6,6,,0,False,False,0,False,,0.0005,-0.11315164455022254,0.049231397474574536,{}
