batch_index,campaign_arm,target_sbox,objective,recommendation_candidate_id,recommendation_rank,selection_count,mean_public_objective_score,mean_p_clean_target_ineffective,mean_p_clean_target_effective
0,guided_exploit,S5,SHFA,26250,10,21,0.0008823214799880727,0.4319277737754214,0.3414724209128187
0,guided_exploit,S5,SHFA,26379,17,17,0.0006923515509001192,0.3412665569642674,0.43608127061641955
0,guided_exploit,S5,SHFA,26760,20,15,0.0007220883488925314,0.25382763434546435,0.5709535262873467
0,guided_exploit,S5,SHFA,27705,11,17,0.0018822637254616197,0.3373917790937982,0.5007887210619625
0,guided_exploit,S5,SHFA,27708,19,15,0.0011521164187826532,0.3265216956679079,0.4893376862139221
0,guided_exploit,S5,SHFA,28097,16,16,0.0008227305866081577,0.5677689904571211,0.22103952626956183
0,guided_exploit,S5,SHFA,29021,9,18,0.0013344348442468558,0.30292517105572064,0.5548418384419143
0,guided_exploit,S5,SHFA,29132,3,31,0.000828322529529616,0.3406129602575597,0.4189019333009613
0,guided_exploit,S5,SHFA,33090,8,25,0.0007365750885097582,0.40656545455854853,0.42997320692888436
0,guided_exploit,S5,SHFA,33422,2,25,0.0005963495121336198,0.3439928122690671,0.46009437535576564
0,guided_exploit,S5,SHFA,34182,24,16,0.0007219509340563024,0.30052942177309483,0.48810871382185017
0,guided_exploit,S5,SHFA,34791,5,20,0.0006691096060040793,0.36712626820997263,0.41817191524448977
0,guided_exploit,S5,SHFA,35146,22,17,0.0005672132431704871,0.3354888264010444,0.4477985223811124
0,guided_exploit,S5,SHFA,35395,18,17,0.0006653576745969752,0.3240377460255005,0.5275828503205422
0,guided_exploit,S5,SHFA,35440,15,12,0.0006713431486688209,0.4427991299017026,0.3386951705749504
0,guided_exploit,S5,SHFA,36064,12,16,0.0011360214985704758,0.3045037907840744,0.5387217589529659
0,guided_exploit,S5,SHFA,38279,4,29,0.0006694407468977061,0.31944374039436046,0.5078326401780908
0,guided_exploit,S5,SHFA,38665,7,20,0.000913143786280721,0.29644758239474844,0.5393325018664061
0,guided_exploit,S5,SHFA,38889,13,15,0.0016649220657229153,0.33253402190603604,0.5052398838152583
0,guided_exploit,S5,SIFA,6106,16,19,0.2145623263658895,0.2145623263658895,0.5309186696285141
0,guided_exploit,S5,SIFA,6840,24,15,0.12737267499652483,0.12737267499652483,0.6768647408499839
0,guided_exploit,S5,SIFA,18781,20,15,0.43655657645347556,0.43655657645347556,0.2426688451927755
0,guided_exploit,S5,SIFA,20308,15,18,0.3107691142907816,0.3107691142907816,0.5275389620703375
0,guided_exploit,S5,SIFA,20625,3,32,0.3370879821087865,0.3370879821087865,0.4061387970035233
0,guided_exploit,S5,SIFA,23137,19,23,0.3652554330773001,0.3652554330773001,0.36630853142257974
0,guided_exploit,S5,SIFA,27057,10,22,0.21345089282958626,0.21345089282958626,0.5201996559368929
0,guided_exploit,S5,SIFA,27114,7,32,0.3283839909534272,0.3283839909534272,0.44739659996207626
0,guided_exploit,S5,SIFA,27922,12,14,0.5416436875487634,0.5416436875487634,0.26643598795443507
0,guided_exploit,S5,SIFA,30799,14,16,0.28952238347758513,0.28952238347758513,0.47012125120810677
0,guided_exploit,S5,SIFA,30952,13,21,0.2186085238401733,0.2186085238401733,0.49664301110793146
0,guided_exploit,S5,SIFA,31172,17,14,0.3607793926306055,0.3607793926306055,0.4116003448964965
0,guided_exploit,S5,SIFA,31936,6,17,0.3300272597079978,0.3300272597079978,0.33422656208847895
0,guided_exploit,S5,SIFA,32050,18,21,0.39533001897497144,0.39533001897497144,0.294881491562339
0,guided_exploit,S5,SIFA,32610,9,19,0.2508053145859375,0.2508053145859375,0.5802830680727833
0,guided_exploit,S5,SIFA,34088,2,47,0.290476781420642,0.290476781420642,0.48015353510114467
0,guided_exploit,S5,SIFA,34092,21,19,0.40495065925533863,0.40495065925533863,0.2608376969009017
0,guided_exploit,S5,SIFA,34437,11,14,0.3727324494822293,0.3727324494822293,0.44000987588536716
0,guided_exploit,S5,SIFA,35574,23,18,0.28935887008754135,0.28935887008754135,0.4278180437767804
0,guided_exploit,S5,SIFA,35746,5,27,0.4264505876911354,0.4264505876911354,0.2994376475361743
0,guided_exploit,S5,SIFA,36042,4,25,0.38586458671609825,0.38586458671609825,0.3788297601962514
0,guided_exploit,S5,SIFA,36144,8,25,0.25255796973198463,0.25255796973198463,0.4467881689157088
0,guided_exploit,S5,SIFA,37579,22,16,0.2951091027220091,0.2951091027220091,0.4274741250794477
0,guided_exploit,S5,SIFA,38130,1,36,0.3304284708058472,0.3304284708058472,0.5006445373194908
0,guided_explore,S0,SEFA,15214,12,17,0.5469869078097924,0.22921526390808472,0.5469869078097924
0,guided_explore,S0,SEFA,17083,7,17,0.47443099252134724,0.2831548983310299,0.47443099252134724
0,guided_explore,S0,SEFA,18832,3,23,0.6185201735974636,0.1416376791246287,0.6185201735974636
0,guided_explore,S0,SEFA,19686,9,16,0.4531542399265698,0.42062146251495736,0.4531542399265698
0,guided_explore,S0,SEFA,19742,11,13,0.33038355677014264,0.32905016688020655,0.33038355677014264
0,guided_explore,S0,SEFA,20007,6,9,0.7133971172306555,0.09893283406478175,0.7133971172306555
0,guided_explore,S0,SEFA,24444,10,17,0.5803277324042505,0.19712755606423085,0.5803277324042505
0,guided_explore,S0,SEFA,25817,2,19,0.415769727052248,0.38219519078575775,0.415769727052248
0,guided_explore,S0,SEFA,25899,5,22,0.617789640366563,0.21513819542921875,0.617789640366563
0,guided_explore,S0,SEFA,25912,1,25,0.4080845722405703,0.4131668048323408,0.4080845722405703
0,guided_explore,S0,SEFA,28070,8,10,0.602911708843141,0.24296472610511483,0.602911708843141
0,guided_explore,S0,SEFA,30632,4,22,0.48989197564999665,0.33135349503595896,0.48989197564999665
0,guided_explore,S0,SHFA,22499,3,15,0.0016426159286545726,0.31519693614954836,0.533437396939164
0,guided_explore,S0,SHFA,23108,2,8,0.0012793734353720434,0.40209832029356546,0.46759399600090207
