rank,score,first_center_sample,spacing_samples,mean_center_specificity,minimum_center_specificity,mean_prominence
148,7.002502698505235,4078,13,7.399550518052243,-0.9820260001165272,1.0936483604775025
149,6.965031215055615,4076,13,7.569315840417812,-2.1489428695420245,0.23614996245559383
150,6.8963975686041135,4064,14,7.57871351705254,0.2630788533565346,0.008502100067735885
151,6.827445710061261,4083,5,7.377572197952694,-0.664909794479633,0.8788354003378862
152,6.756975157141835,4087,9,8.477110367667375,7.31614456186241,-11.100808390009947
153,6.649984743120684,4077,13,7.166289897120576,-1.844752047271167,0.32927147854039274
154,6.637864272837769,4073,14,7.187301831784944,-0.9802796940322887,1.048577197390937
155,6.562964886047276,4072,14,7.147213774903252,-0.9820260001165272,0.8421424150030203
156,6.291308290340326,4104,6,6.891298566565121,-0.28970369446008826,-0.27231087321575537
157,6.2851010407411625,4084,11,6.986049024279715,0.03483402634572294,-0.6905631216496667
158,6.276222101418002,4083,12,6.75749281233989,-1.844752047271167,1.3874517698092794
159,6.27219883021023,4065,14,6.942335695516988,0.10190186057651647,-0.7246611852541447
160,6.198365465137177,4067,11,7.140894530578717,-0.2925710365355184,-2.8066727651167076
161,5.9528303493805685,4082,5,6.528189321869111,-1.1901439574739514,0.7343615095951584
162,5.938085374437169,4092,8,7.3136142262322785,0.5062681318252007,-6.440183991887705
163,5.876013076121307,4071,14,6.495300770078556,-1.844752047271167,-0.0019642259010339558
164,5.781624931034694,4081,6,6.32470022936133,-1.2328102661841487,0.5053411366951486
165,5.650861739914444,4110,5,6.29466133370734,-1.2269983359848846,-0.35089972498703953
166,5.437797909585917,4066,14,6.13858187323458,-0.26763859245911825,-1.5154187000329062
167,5.36202704735577,4098,7,6.334419239006098,-1.3139882746729286,-3.0330961227964943
168,5.238928707527903,4077,9,7.002561512212906,4.538033544354338,-11.345141090934751
169,5.226862421369945,4080,7,5.879943725134933,-1.060458975754346,-1.082783248812083
170,5.159670337999697,4085,10,6.6705033663087585,-0.36536573442950343,-7.09707252411846
171,5.135958675898622,4070,14,5.819070005113056,-2.1489428695420245,-0.928511418398013
172,4.899232070054601,4081,5,5.4531205243709495,-1.0067376378979287,0.4600402366639152
173,4.884188165047481,4084,12,5.4418756169560965,-1.0863638999380112,0.286170249403441
174,4.8623924112112435,4067,14,5.637846043557338,-0.9400417363850032,-1.9068841476365717
175,4.73993955042272,4069,14,5.495826621891723,-1.9226827262429884,-1.5506355253003723
176,4.572853988363237,4068,14,5.388913201854674,-1.5245428248351292,-1.9478959947791974
177,4.4211895909929435,4080,6,4.917980536944627,-0.8839485309083972,-0.013927060759578995
178,4.312451932056142,4105,6,4.941635979632439,-0.49394441277802326,-1.08709239093915
179,4.308070930446224,4111,5,4.921596445109407,-1.970827329404303,-0.5230012703806036
180,4.194693121091439,4072,10,5.608590010432387,0.6722513068726151,-7.549438794977404
181,4.080628781028643,4066,15,4.737523961573833,-0.9820260001165272,-1.1859905034525222
182,4.055256499050104,4066,11,5.0789321004699595,-0.5055840322748987,-4.059381998545993
183,3.9944375897214135,4079,8,5.29276849680433,-0.37853678398776985,-6.3213952903000905
184,3.807246945529784,4085,11,4.600014086523242,-0.66589022519659,-2.3452300946469014
185,3.7054113704487626,4065,15,4.478195611912091,-1.844752047271167,-1.7305756529169094
186,3.696317836867138,4080,5,4.196580435855298,-1.6254235085175905,0.007717588223303068
187,3.4249312461626156,4064,15,4.241700083169179,-2.1489428695420245,-2.168268144048901
188,3.3545789990815704,4112,5,3.8715794767674283,-2.36564947525046,-0.29787208169099555
189,3.3491426329627383,4079,7,3.9826139442755117,-1.9059929450186115,-1.9185223832743372
190,3.2474566652407324,4085,12,3.8576071722339935,-1.7175813745391477,-1.096723738387296
191,3.0744010463051117,4099,7,4.052629252706808,-0.683734086917618,-4.058853532592092
192,3.0174197516784815,4079,6,3.4468030105566076,-0.463239120008654,-0.5884631827305392
193,2.7438812148558287,4106,6,3.3199490810507952,-0.6884339079584305,-1.4333690285423357
194,2.600685151865447,4065,11,3.556939977779968,-0.6390013329041222,-4.4188533386693125
195,2.4444130036365794,4093,8,3.879274789525688,0.008716290580309483,-7.887970545614461
196,2.3918529324742104,4079,5,2.835004085577063,-1.727714084529378,-0.6049796557060962
197,2.3773888834578165,4086,10,3.8262293812950356,-0.37038141816306774,-7.823750939669744
198,2.294410420385235,4113,5,2.7171327842422994,-1.9446667489377494,-0.33088541515579856
199,2.014864109019379,4076,9,3.8042565618298774,2.7300757498222996,-11.680508109853212
200,1.9927888944814685,4071,10,3.3193917062246885,0.5368870151790149,-7.597437783706583
201,1.8186234285098062,4078,8,2.9823525736869,-1.1255647174188803,-6.266716048355737
202,1.79017149639007,4078,7,2.3843042398733374,-2.0490955851889097,-2.520331884681394
203,1.779853267547803,4086,11,2.5907071420185637,-1.5245428248351292,-3.542373707365805
204,1.71258145643205,4064,11,2.5165293850368347,0.06686142572369311,-4.077005317782189
205,1.6332389681417316,4086,12,2.283216944260552,-2.7534781718265666,-2.426665746298073
206,1.6211096092179096,4100,7,2.4715468242312246,-0.7081552199442699,-4.040585499264533
207,1.5660657064165087,4078,6,1.9654954790207382,-1.0067376378979287,-1.2721451790579112
208,1.5588804321353575,4088,9,3.79724878200433,2.1923146890359497,-14.620060583786865
209,1.4646581952741418,4078,5,1.809429733816728,-1.6279654281555604,-0.8631377116002625
