absolute_sample,roi_relative_sample,S0_eta_squared,S0_permutation_z,S0_specificity,S1_eta_squared,S1_permutation_z,S1_specificity,S2_eta_squared,S2_permutation_z,S2_specificity,S3_eta_squared,S3_permutation_z,S3_specificity,S4_eta_squared,S4_permutation_z,S4_specificity,S5_eta_squared,S5_permutation_z,S5_specificity,S6_eta_squared,S6_permutation_z,S6_specificity,S7_eta_squared,S7_permutation_z,S7_specificity
4103,54,0.07334581521393299,0.2625681849461626,0.14185114719474973,0.06409291564439105,-0.35714630778048573,-0.7927049219157928,0.24473687455237444,19.7236910771882,24.83893751723463,0.08546506938798001,2.2643139495538565,3.0059320094465614,0.07485900678547311,0.805834417173588,0.8768736316200797,0.04744067186179295,-0.7015888733521501,-1.5256913139264987,0.06753164020526417,0.560058164870516,0.2202985745142903,0.08639436564889234,1.326871843405297,0.6879893442672969
4104,55,0.03944406926634832,-0.03016231096720387,-0.28970369446008826,0.03857703745382655,-0.8427934142255218,-1.5241393084453003,0.14762514850060743,12.031374512902914,15.015851245727056,0.09242988757250874,3.279860223702407,4.538033544354338,0.06321942255631588,1.1470732960852004,1.6046919081756397,0.05962565417501209,-0.5398017877273589,-1.309382583843604,0.061024718082454806,0.3919919072548089,-0.07332338680500372,0.06965532997090933,1.452455175591018,0.9137662830462655
4105,56,0.05656935261134624,0.04152953975231184,-0.1708459717031779,0.047386971608398984,-0.7111504927824247,-1.3139882746729286,0.1256647042233181,7.016923360418549,8.51766065848034,0.09352429500492673,5.65585637957419,7.883373514805095,0.06527707532814467,1.7074584481155646,2.620415270177809,0.04944501317513354,-0.3990652665138734,-1.0533558646874444,0.05505616417452402,0.46845035208384705,0.06311646146235961,0.07408889055646581,1.387997138737468,0.8028754948124309
4106,57,0.06569213544579067,0.3783671809124538,0.19697296669556758,0.05659924662033099,0.0007525781073092763,-0.3860149224281548,0.09597535544091353,4.093199999425969,4.6793769920512265,0.1489057231110619,9.700038079978043,13.571598213517143,0.10016386845299308,2.1124972000290616,3.310555297767987,0.056889635572198206,-0.2631201657508642,-0.9026753224849651,0.0680217413164132,0.9869968742510544,0.937302763669816,0.06178122739707345,1.0385911191182962,0.14875994470531878
4107,58,0.062039732457142276,0.5255672358065611,0.17124199314114086,0.073016603678019,1.042846847057364,0.8601388173293643,0.07577215706937072,2.4442885874370943,2.246937807853714,0.21006138891083248,14.291024329679264,19.80239544812365,0.0741975384907379,1.7022435352618088,2.230012728188869,0.05329647410625968,-0.1934700902452103,-1.006498784182,0.07859885407594522,1.415171191364937,1.251920892739636,0.07132836412003683,0.9966575704245245,-0.11611549596478554
4108,59,0.07497015747345434,0.3825338763808675,0.026829098456618627,0.08609059556586103,1.7002166414396875,1.9654504264171324,0.06987765693682652,1.5776147508924077,1.2106359825774495,0.23464135032351768,18.369385160702773,25.69154414346537,0.05704386734633318,0.9067670562242476,0.6738058454167282,0.05702220740629161,-0.011114552048021697,-0.664909794479633,0.07833136670257772,1.5009740144227774,1.4568595148609162,0.07297409121572797,0.896539958408781,-0.18539184360528377
4109,60,0.04659758473926854,-0.21357437035619858,-0.6085296995643429,0.07394500117672251,1.7565320614760882,2.431976220721275,0.07414116222371334,1.3035559970774477,1.2450118396448053,0.27907148365652107,21.01177452132719,29.842662965580118,0.05858878793930687,0.13295326027302884,-0.6390013329041222,0.06187743436203688,0.024327946586334262,-0.463239120008654,0.0602914681304037,1.049931426783982,1.187931784074211,0.06116282302577053,0.6746753037763982,-0.28951075501832024
4110,61,0.05098352724751039,-0.22007301569456855,-0.48499925439247704,0.07073425293176515,1.7549579574834535,2.487257340692121,0.07436563770984286,1.4452339426844447,1.4850039013185803,0.31122501265962044,21.575324758093238,30.702855672607896,0.054815353843906144,0.13369475157965666,-0.5055840322748987,0.060571957248382005,-0.15801625381177994,-0.6303085123180707,0.07140453629260211,0.790707287128393,0.8682195260785536,0.05986156209841531,0.5275161845982017,-0.3217542654141207
4111,62,0.049407691685018934,-0.06572214235465969,-0.40854311253086667,0.07321449345686964,1.5269356086667552,1.9649982390369363,0.06658585430961533,1.4622507808593048,1.305053274101118,0.28103893503805766,19.418487912427864,27.428867565826856,0.05612800181089789,0.8898314095243068,1.0241313357658965,0.05244459870693269,-0.44899396229134053,-1.2328102661841487,0.058030864090194534,0.5813177219989265,0.1297947288977902,0.06427590995947008,0.6370015610619681,-0.3247658084533067
4112,63,0.07482930666300007,0.575071701807155,0.42498072623838123,0.09356960700256152,1.196007185893754,1.3953882223338667,0.07990004194219405,1.2525018697628332,0.9302394228093156,0.20197646526831944,14.995963490102332,21.024958817525228,0.08118189955118689,2.4274368050604616,3.813324803568188,0.04410168535794725,-0.3675896952195178,-1.1030449586252256,0.06747330272257902,0.7573960045108776,0.38225318177308,0.06970390309774263,1.0817319513638868,0.1679027298280955
