campaign_arm,key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi
random_uniform,1,S0,0,0.5,2,2,384,0.002916124131944444,17.916666666666664
random_uniform,1,S0,0,0.5,3,3,384,0.002468532986111112,15.166666666666671
random_uniform,1,S0,0,0.5,4,4,384,0.003228081597222222,19.833333333333332
random_uniform,1,S0,0,0.5,5,5,384,0.001885308159722223,11.583333333333337
random_uniform,1,S0,0,0.5,6,6,384,0.0011664496527777773,7.166666666666664
random_uniform,1,S0,0,0.5,7,7,384,0.0018717447916666667,11.5
random_uniform,1,S0,0,0.5,8,8,384,0.003119574652777778,19.166666666666668
random_uniform,1,S0,0,0.5,9,9,384,0.004163953993055556,25.583333333333336
random_uniform,1,S0,0,0.5,10,a,384,0.004191080729166667,25.75
random_uniform,1,S0,0,0.5,11,b,384,0.003065321180555556,18.833333333333336
random_uniform,1,S0,0,0.5,12,c,384,0.0019938151041666665,12.25
random_uniform,1,S0,0,0.5,13,d,384,0.003065321180555555,18.83333333333333
random_uniform,1,S0,0,0.5,14,e,384,0.002685546875,16.5
random_uniform,1,S0,0,0.5,15,f,384,0.003078884548611111,18.916666666666664
random_uniform,1,S0,0,0.65,0,0,500,0.001316,10.527999999999999
random_uniform,1,S0,0,0.65,1,1,500,0.0023319999999999994,18.655999999999995
random_uniform,1,S0,0,0.65,2,2,500,0.002268,18.144000000000002
random_uniform,1,S0,0,0.65,3,3,500,0.002876,23.008
random_uniform,1,S0,0,0.65,4,4,500,0.001556,12.448
random_uniform,1,S0,0,0.65,5,5,500,0.0007719999999999999,6.175999999999999
random_uniform,1,S0,0,0.65,6,6,500,0.001268,10.144
random_uniform,1,S0,0,0.65,7,7,500,0.001156,9.248
random_uniform,1,S0,0,0.65,8,8,500,0.001796,14.368
random_uniform,1,S0,0,0.65,9,9,500,0.0023400000000000005,18.720000000000002
random_uniform,1,S0,0,0.65,10,a,500,0.003211999999999999,25.695999999999994
random_uniform,1,S0,0,0.65,11,b,500,0.002916,23.328000000000003
random_uniform,1,S0,0,0.65,12,c,500,0.001324,10.592
random_uniform,1,S0,0,0.65,13,d,500,0.00286,22.880000000000003
random_uniform,1,S0,0,0.65,14,e,500,0.001548,12.383999999999999
random_uniform,1,S0,0,0.65,15,f,500,0.0018359999999999997,14.687999999999997
random_uniform,1,S0,0,0.8,0,0,615,0.0012160420384691652,11.965853658536586
random_uniform,1,S0,0,0.8,1,1,615,0.002104402141582391,20.707317073170724
random_uniform,1,S0,0,0.8,2,2,615,0.0020250842752329965,19.926829268292686
random_uniform,1,S0,0,0.8,3,3,615,0.0023793707449269613,23.413008130081298
random_uniform,1,S0,0,0.8,4,4,615,0.0009410734351245949,9.260162601626014
random_uniform,1,S0,0,0.8,5,5,615,0.00041757551721858697,4.108943089430896
random_uniform,1,S0,0,0.8,6,6,615,0.0009939520126908583,9.780487804878046
random_uniform,1,S0,0,0.8,7,7,615,0.0012953599048185602,12.746341463414632
random_uniform,1,S0,0,0.8,8,8,615,0.0015386013616233726,15.139837398373986
random_uniform,1,S0,0,0.8,9,9,615,0.00241109789146672,23.725203252032525
random_uniform,1,S0,0,0.8,10,a,615,0.0027918236499438168,27.471544715447155
random_uniform,1,S0,0,0.8,11,b,615,0.0027389450723775523,26.951219512195113
random_uniform,1,S0,0,0.8,12,c,615,0.0011737391764161545,11.54959349593496
random_uniform,1,S0,0,0.8,13,d,615,0.0022736135897944345,22.372357723577235
random_uniform,1,S0,0,0.8,14,e,615,0.0017395399563751733,17.117073170731704
random_uniform,1,S0,0,0.8,15,f,615,0.0023317800251173243,22.944715447154472
random_uniform,1,S0,0,1.0,0,0,769,0.0006272606749515101,7.71781534460338
random_uniform,1,S0,0,1.0,1,1,769,0.001134565011896287,13.959687906371915
random_uniform,1,S0,0,1.0,2,2,769,0.0012495539949371028,15.374512353706113
random_uniform,1,S0,0,1.0,3,3,769,0.00148967804775763,18.32899869960988
random_uniform,1,S0,0,1.0,4,4,769,0.0010567783468980873,13.002600780234065
random_uniform,1,S0,0,1.0,5,5,769,0.0007523957447312219,9.257477243172954
random_uniform,1,S0,0,1.0,6,6,769,0.001063542404724018,13.085825747724318
random_uniform,1,S0,0,1.0,7,7,769,0.0009417893638572715,11.58777633289987
random_uniform,1,S0,0,1.0,8,8,769,0.0008775308145109335,10.797139141742525
random_uniform,1,S0,0,1.0,9,9,769,0.001317194573196406,16.20676202860858
random_uniform,1,S0,0,1.0,10,a,769,0.0019259597775301382,23.69700910273082
random_uniform,1,S0,0,1.0,11,b,769,0.0017568583318818796,21.616384915474647
random_uniform,1,S0,0,1.0,12,c,769,0.0009417893638572717,11.587776332899871
random_uniform,1,S0,0,1.0,13,d,769,0.0011616212432000081,14.2925877763329
random_uniform,1,S0,0,1.0,14,e,769,0.0012664641395019286,15.582574772431729
random_uniform,1,S0,0,1.0,15,f,769,0.0016181951464503063,19.91027308192457
random_uniform,1,S5,5,0.05,0,0,30,0.02861111111111111,13.733333333333334
random_uniform,1,S5,5,0.05,1,1,30,0.03305555555555556,15.866666666666669
random_uniform,1,S5,5,0.05,2,2,30,0.019722222222222224,9.466666666666669
random_uniform,1,S5,5,0.05,3,3,30,0.0175,8.4
random_uniform,1,S5,5,0.05,4,4,30,0.028611111111111115,13.733333333333334
random_uniform,1,S5,5,0.05,5,5,30,0.05972222222222222,28.666666666666664
random_uniform,1,S5,5,0.05,6,6,30,0.04194444444444444,20.13333333333333
random_uniform,1,S5,5,0.05,7,7,30,0.03972222222222223,19.06666666666667
random_uniform,1,S5,5,0.05,8,8,30,0.04861111111111112,23.333333333333336
random_uniform,1,S5,5,0.05,9,9,30,0.04194444444444444,20.13333333333333
random_uniform,1,S5,5,0.05,10,a,30,0.03972222222222223,19.06666666666667
random_uniform,1,S5,5,0.05,11,b,30,0.03972222222222222,19.066666666666666
random_uniform,1,S5,5,0.05,12,c,30,0.05527777777777779,26.53333333333334
random_uniform,1,S5,5,0.05,13,d,30,0.08861111111111111,42.53333333333333
random_uniform,1,S5,5,0.05,14,e,30,0.05527777777777777,26.53333333333333
random_uniform,1,S5,5,0.05,15,f,30,0.02416666666666667,11.600000000000001
random_uniform,1,S5,5,0.075,0,0,45,0.019969135802469132,14.377777777777775
random_uniform,1,S5,5,0.075,1,1,45,0.013055555555555553,9.399999999999999
random_uniform,1,S5,5,0.075,2,2,45,0.015030864197530861,10.82222222222222
random_uniform,1,S5,5,0.075,3,3,45,0.019969135802469132,14.377777777777775
random_uniform,1,S5,5,0.075,4,4,45,0.015030864197530861,10.82222222222222
random_uniform,1,S5,5,0.075,5,5,45,0.03280864197530864,23.62222222222222
random_uniform,1,S5,5,0.075,6,6,45,0.02194444444444444,15.799999999999997
random_uniform,1,S5,5,0.075,7,7,45,0.034783950617283954,25.044444444444448
random_uniform,1,S5,5,0.075,8,8,45,0.02589506172839506,18.644444444444442
random_uniform,1,S5,5,0.075,9,9,45,0.02688271604938271,19.35555555555555
random_uniform,1,S5,5,0.075,10,a,45,0.017993827160493824,12.955555555555552
random_uniform,1,S5,5,0.075,11,b,45,0.015030864197530863,10.822222222222221
random_uniform,1,S5,5,0.075,12,c,45,0.03083333333333333,22.2
random_uniform,1,S5,5,0.075,13,d,45,0.04169753086419753,30.022222222222222
random_uniform,1,S5,5,0.075,14,e,45,0.022932098765432098,16.51111111111111
random_uniform,1,S5,5,0.075,15,f,45,0.013055555555555556,9.4
random_uniform,1,S5,5,0.1,0,0,59,0.012478454467107155,11.779661016949154
random_uniform,1,S5,5,0.1,1,1,59,0.012478454467107153,11.779661016949152
random_uniform,1,S5,5,0.1,2,2,59,0.017649382361390405,16.661016949152543
